10MCOM|10 MHz Geographic Overlap Review Completed
172COM|Review of Channel 172 Completed
20COM|2065/2079 Review Completed
38GOFF|Offlined For 38.6 - 40 GHz Review.
602COM|Form 602 Review Completed
602OFF|Offlined for Form 602 Review
603TCN|Converted from a 603T application.
700COM|Offlined for 700 MHz Review Completed
702COM|700 MHz Canadian Treaty Compliance completed
703COM|700 MHz Mexican Treaty Compliance completed
704COM|Canadian/Mexican border check completed
72CCOM|72-76 MHz Coordination Completed (Channel 4/5)
72OCOM|72-76 MHz Coordination Completed (Op Fixed)
800COM|Completed 800 MHz Band Reconfiguration Review
929COM|929.0125-929.4875 /MHz review completed
ACSCOM|Associated Call Sign Review Completed
ADDCOM|Manual Address Correction Complete
AFCOM|AFTRCC Review Completed
AFRCOM|Application for Review Consideration Completed
AFROFF|Offlined for Application for Review Consideration
ALCOM|Alert List Review Completed
ALOCOM|Already Occurred Review Completed
ALOFF|Offlined for Alert List Review
AMACOM|Review of Trustee Change Completed
AMSCOM|AM Station Review Completed
ANATRM|Antenna Terminated Through Auto Term Process
AOCCOM|CA county coordination review completed
AOCOM|Alien Ownership Review Completed
AONCOM|Area of Operation = N or U review completed
AOOFF|Offlined for Alien Ownership Review
AOPCOM|"Coordinate review (N/Line A, E/Line C) completed"
APACC|Application Accepted
APCON|Application Consented
APCRTC|Litigation or Court Action Closed
APDIS|Application Dismissed
APDIS1|Application Dismissed due to Aged Return
APDIS2|Application Dismissed due to Parent Facility Expir
APGRP|Application Granted in Part
APGRT|Application Granted
APOCOM|Coser Spec Cond Review (155.475 MHz) completed
APPCOM|Change of applicant type code review completed
APPOFF|Offlined change of applicant type code review
APRTN|Application Returned
APRVCC|Canceled Coser Application Review Completed
APRVIC|Canceled Iracs Application Review Completed
APTR2|Application Set to Returned Status.
APWD|Application Withdrawn
ARECOM|Area of Operation Review Completed
ASCCOM|Associated Call Sign Review Completed
ASROFF|Offlined for ASR review
ATCOM|Attachment Review Completed
ATOFF|Offlined for Attachment Review
ATRCOM|Applicant Type Review Completed
ATTCOM|Attachment Received
AUTCOM|Auto Termination Review Completed
AUTHPC|Consent Authorization Printed
AUTHPR|Authorization Printed
AUTHRP|Reference Copy Authorization Printed
AUTOFF|Offlined for Auto Termination Review
AUTRLP|Registration Letter Printed
BARCOM|Station transmit loc outside CDBS station complete
BAROFF|Station transmit loc outside CDBS parent station.
BIDCOM|Bidding Credit data Review Completed
BILCOM|Offline for Billing Completed
BILOFF|Offlined for Billing
BKPCOM|Bankruptcy Review Completed
BLDCOM|Buildout Notification Review Completed
BNDCOM|Bandwidth Review Completed.
BNDOFF|Bandwidth Review (Coser/Irac Major/Minor Failed).
BOCOM|NT/EX Buildout Untimely Filing Review Complete
BOOFF|Offlined for NT/EX Buildout Untimely Filing Review
BORDCM|Border Coordinate Review Completed
BORDOF|Offlined for Border Coordinate Review
BQCOM|Basic Qualification Review Completed
BQOFF|Offlined for Basic Qualification Review
BRECOM|BR/ED Review Completed
CAECOM|Review of Coser Errors Completed
CAEOFF|Review Coser Errors
CANCOM|Manual Coser Review Completed
CANCSE|Cancel Coser Sent to Canada
CANFRC|Forced Coser Review Completed
CANOSE|On-Air Coser Sent to Canada
CANRE|Received from Canada
CANRSE|Recon Coser Sent to Canada
CANSC|Coser Screening Completed
CANSE|New Coser Sent to Canada
CECOM|CE Review Completed
CEOFF|Offlined for CE Review
CFBCOM|C/F Block Review Completed
CG2COM|CGSA review completed
CGSCOM|Alt CGSA study completed
CIBCOM|CIB Action Completed
CLICOF|Review pending App for removal of canceled license
CLSCOM|Closed Bidding data Review Completed
CMTCOM|T1/T2/T3 Commercial License Review Complete
CNRCOM|Canada/Narrowbanding Review completed
COMCOM|Compliance with Section 27.1203 Review Completed
CONEX|Construction Date Extended
COR|Internal Correction Applied
CORADD|Internal Correction - License Added
COVNT|Required Notification of Const/Coverage
CPCOM|Review for CPOFF Completed
CPLCOM|CP Location Review Completed
CPOCOM|Review for CP OFF Air Completed
CSACOM|Four-Letter Call Sign Assignment Complete
CSPCOM|Coser Spec Cond Review (155.475 MHz) Completed
CTACOM|Cable TV/Attributable Interest Review Completed
CZCCOM|Coordination Zone Check Completed
CZCOFF|Offlined for Coordination Zone Check
CZRCOM|Canadian Zone Review Complete
CZROFF|Offlined for Canadian Zone Review
DBCOM|DO/DM Consolidation Review Complete
DCIACO|DCIA FRN Review Completed
DEMCOM|Demonstration Review Completed
DEMOFF|Offlined for Demonstration Review
DEVCOM|Developmental Review Completed
DEVOFF|Offlined for Developmental Review
DFTCOM|Review application for criteria of R&O FCC 05-144
DIREV|Dismissed Application Reversed
DMCCOM|Demonstration - Coser clearance closed
DMMCOM|Demonstration - Coser manual offline closed
DMZCOM|Demonstration - Coser clearance zone check closed
DSHCOM|Manual Domestic MMSI Number Assignment Complete
DTBCOM|Date of Birth Review Completed
DTSCOM|Cable TV/Attributable Interest Review Completed
DWVCOM|Waiver/Deferral of Fees Review Completed
EDRCOM|Expiration Date Review Completed
EFCAPR|Application receipt email failed: CORES email
EFCFND|FRN Disassociation email failed: CORES email
EFCFNR|FRN Re-association email failed: CORES email
EFCFRN|FRN Association email failed: CORES email
EFRCOM|Electronic Filing Review Completed
EFROFF|Offline for Mandatory Electronic Filing Review
EFUAPR|Application receipt email failed: ULS email
EFUFND|FRN Disassociation email failed: ULS email
EFUFNR|FRN Re-association email failed: ULS email
EFUFRN|FRN Association email failed: ULS email
EFURNW|ic Safety Renewal email failed: ULS email
ELGCOM|Eligibility Review Completed
ENFCOM|Enforcement Bureau Action Completed
ENFOFF|Offlined for Enforcement Bureau Action
ENGCOM|Engineering Review Completed
ENGOFF|Offlined for Engineering Review
ERPCOM|Radial ERP greater than 450 watts completed
ESCAPR|Application receipt email sent: CORES email
ESCFND|FRN Disassociation email sent: CORES email
ESCFNR|FRN Re-association email sent: CORES email
ESCFRN|FRN Association email sent: CORES email
ESUAPR|Application receipt email sent: ULS email
ESUFND|FRN Disassociation email sent: ULS email
ESUFNR|FRN Re-association email sent: ULS email
ESUFRN|FRN Association email sent: ULS email
ESURNW|ic Safety Renewal email sent: ULS email
EXCOM|Extension of Time Review Completed
EXPCOM|Manual License Status Change Completed
EXPOFF|Offlined for Manual License Status Change
EXTCOM|Extended implementation review completed
FCRCOM|Frequency Coordination Review Completed
FCROFF|Offlined for Frequency Coordination Review
FORCOM|Forbearance/Already Occurred Review Completed
FRATRM|Frequency Terminated Through Auto Termination Proc
FRCCOM|FRC_OP_Class Code/Endorsement review complete
FRDCOM|Forbearance Date Review Completed
FRSCOM|Invalid frequency/radio service review completed
FVCOM|Fee Validation Completed
FVDCOM|Fee Determination Completed
